a_index	a_name	a_type	a_enable	a_sub	a_get_type	a_count	a_min_level	a_max_level	a_start_type	a_end_type	a_start_data	a_end_data	a_link	a_data0	a_data1	a_data2	a_data3	a_data4	a_data5	a_data6	a_data7	a_data8	a_data9	a_zone	a_prize	a_laim	a_exp	a_item0	a_item1	a_item2	a_item3	a_item4	a_item5	a_item6	a_item7	a_item8	a_string0	a_string1	a_string2	a_string3	a_string4	a_string5	
37	Special quests magic of the Restoration.	1	1	9	2	20	171	220	2	1	934	33	-1	197	202	203	0	0	15	15	15	0	0	32	4	0	0	-1	24	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Prizes Quest: Ancient Ring (refresh rate while using 10%).	After The mission can not get it anymore.	To receive the mission to add the optional You must Ring Ancient mission success.	µ¿ÀÏÇÑ º¸»óÀ» ÇØÁÖ´Â ÀÓ¹«¸¦ ¼öÇàÇßÀ» °æ¿ì ÇØ´ç ¿É¼Ç´É·ÂÀº ´õ »ó½ÂÇÕ´Ï´Ù	
38	Quest extra skill.	1	1	10	2	18	171	220	2	1	934	33	-1	217	193	204	0	0	30	2	4	0	0	32	4	0	0	-1	22	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Prizes Quest: Ancient Ring (speed of the skill increased by 20%).	After The mission can not get it anymore.	To receive the mission to add the optional You must Ring Ancient mission success.		
39	Special quests for new opportunities.	1	1	11	2	10	171	220	2	1	934	33	-1	209	204	0	0	0	20	20	0	0	0	32	4	0	0	-3	0	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Quest reward: one free redistribution chance.	After The mission can not get it anymore.	NULL		
40	Special quests for resistance to petrified.	1	1	12	2	15	171	220	2	1	934	33	-1	202	203	0	0	0	50	5	0	0	0	32	4	0	0	-1	19	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Prizes Quest: Ancient Ring (resistance status petrified 5%).	After The mission can not get it anymore.	To receive the mission to add the optional You must Ring Ancient mission success.		
41	Special quests magic of the Restoration.	1	1	13	2	21	171	220	2	1	934	33	-1	197	195	206	0	0	10	30	15	0	0	32	4	0	0	-1	24	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Prizes Quest: Ancient Ring (refresh rate while using 10%).	After The mission can not get it anymore.	To receive the mission to add the optional You must Ring Ancient mission success.	µ¿ÀÏÇÑ º¸»óÀ» ÇØÁÖ´Â ÀÓ¹«¸¦ ¼öÇàÇßÀ» °æ¿ì ÇØ´ç ¿É¼Ç´É·ÂÀº ´õ »ó½ÂÇÕ´Ï´Ù	
42	Special quests ancient Ring	1	1	14	2	9	221	300	1	1	0	33	-1	195	206	205	194	0	40	40	20	1	0	32	4	0	0	935	0	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Prizes Quest: Ancient Ring.	After The mission can not get it anymore.	NULL		
43	Special quests magic of the Restoration.	1	1	15	2	20	221	300	2	1	935	33	-1	243	219	245	0	0	4	30	20	0	0	64	4	0	0	-1	24	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	Prizes Quest: Ancient Ring (refresh rate while using 10%).	After The mission can not get it anymore.	To receive the mission to add the optional You must Ring Ancient mission success.	µ¿ÀÏÇÑ º¸»óÀ» ÇØÁÖ´Â ÀÓ¹«¸¦ ¼öÇàÇßÀ» °æ¿ì ÇØ´ç ¿É¼Ç´É·ÂÀº ´õ »ó½ÂÇÕ´Ï´Ù	
44	Special quests magic of the Restoration.	1	1	16	2	21	221	300	2	1	935	33	-1	204	203	210	0	0	20	40	3	0	0	32	4	0	0	-1	24	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	Prizes Quest: Ancient Ring (refresh rate while using 10%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring	µ¿ÀÏÇÑ º¸»óÀ» ÇØÁÖ´Â ÀÓ¹«¸¦ ¼öÇàÇßÀ» °æ¿ì ÇØ´ç ¿É¼Ç´É·ÂÀº ´õ »ó½ÂÇÕ´Ï´Ù	
45	Special quests magic of the Restoration.	1	1	17	2	22	221	300	2	1	935	33	-1	221	244	0	0	0	20	40	0	0	0	32	4	0	0	-1	24	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Prizes Quest: Ancient Ring (refresh rate while using 10%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring	µ¿ÀÏÇÑ º¸»óÀ» ÇØÁÖ´Â ÀÓ¹«¸¦ ¼öÇàÇßÀ» °æ¿ì ÇØ´ç ¿É¼Ç´É·ÂÀº ´õ »ó½ÂÇÕ´Ï´Ù	
46	Special quests for resistance to petrified.	1	1	18	2	15	221	300	2	1	935	33	-1	221	223	0	0	0	40	1	0	0	0	64	4	0	0	-1	19	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	Prizes Quest: Ancient Ring (resistance status petrified 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
47	Special quests for resistance to be frozen.	1	1	19	2	16	221	300	2	1	935	33	-1	210	0	0	0	0	15	0	0	0	0	32	4	0	0	-1	20	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	Prizes Quest: Ancient Ring (resist ice, add 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
48	Special quests resistance to everything.	1	1	20	2	17	221	300	2	1	935	33	-1	247	221	220	243	0	3	20	20	10	0	64	4	0	0	-1	21	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	Prizes Quest: Ancient Ring (total resistance 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
49	Quest extra skill.	1	1	21	2	18	221	300	2	1	935	33	-1	244	219	247	0	0	50	40	10	0	0	64	4	0	0	-1	22	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	Prizes Quest: Ancient Ring (speed of the skill increased by 20%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
50	Special quests for new opportunities.	1	1	22	2	10	221	300	2	1	935	33	-1	220	245	221	0	0	50	40	20	0	0	64	4	0	0	-3	0	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	Quest reward: one free redistribution chance.	After The mission can not get it anymore.	NULL		
51	Special quests center of consideration.	0	1	4	2	10	55	60	1	2	0	86	-1	20	40	0	0	0	0	0	0	0	0	4	4	0	0	-3	0	0	1	0	0	0	0	0	Description: Kill Cursed Round Saw Halfer.	Location: Deckadun	Quest reward: one free redistribution chance.	After The mission can not get it anymore.	NULL		
52	Special quests victory against the order of the ri	0	1	5	2	7	75	85	1	2	0	80	-1	15	30	0	0	0	0	0	0	0	0	4	4	0	0	-2	938	4	1	0	0	0	0	0	Description: Kill Cursed Horn Fist Kabal.	Location: Deckadun	Quest Reward: Ring of Zeus lv. 4 (a rise of 8 points).	After The mission can not get it anymore.	Rings have been able to use it until level 90.		
53	Special quests and puzzles horn antique ring.	0	1	6	2	9	105	140	1	2	0	62	-1	10	15	0	0	0	0	0	0	0	0	2	4	0	0	922	0	0	1	0	0	0	0	0	Description: Kill Cursed Horn Beast.	Location: Dekaren	Prizes Quest: Ancient Ring.	After The mission can not get it anymore.	Ancient Ring can be used to level 140.	°í´ëÀÇ ¹ÝÁö¸¦ Âø¿ëÇÏ°í °è½Ã¸é °í´ëÀÇ ¹ÝÁö °ü·Ã Æ¯¼ö ÀÓ¹«¸¦ ¶Ç´Ù½Ã ¹ÞÀ¸½Ç¼ö ÀÖ½À´Ï´Ù	
54	Special quests great power.	0	1	7	2	11	105	140	2	2	922	63	-1	10	15	0	0	0	0	0	0	0	0	2	4	0	0	-1	15	0	1	0	0	0	0	0	Description: Kill Cursed Drarion	Location: Dekaren	Prizes Quest: Ancient Ring (5% chance to attack back).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
55	Special quests serious damage.	0	1	8	2	12	141	170	2	2	933	153	-1	20	30	0	0	0	0	0	0	0	0	16	4	0	0	-1	16	0	1	0	0	0	0	0	Description: Kill Cursed Cutter Lizard.	Location: Shilon	Prizes Quest: Ancient Ring (Critical Chance increased 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
56	Quest extra skill.	0	1	9	2	19	141	170	2	2	933	124	-1	30	50	0	0	0	0	0	0	0	0	2	4	0	0	-1	22	0	1	0	0	0	0	0	Description: Kill Cursed Cutter Khan.	Location: Dekaren	Prizes Quest: Ancient Ring (speed of the skill increased by 20%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
57	Special quests about the existence of an ancient R	0	1	10	2	9	171	220	1	2	0	150	-1	40	60	0	0	0	0	0	0	0	0	8	4	0	0	934	0	0	1	0	0	0	0	0	Description: Kill Cursed Raptoroid	Location: Shilon	Prizes Quest: Ancient Ring.	After The mission can not get it anymore.	Ancient Ring can be used to level 220.	°í´ëÀÇ ¹ÝÁö¸¦ Âø¿ëÇÏ°í °è½Ã¸é °í´ëÀÇ ¹ÝÁö °ü·Ã Æ¯¼ö ÀÓ¹«¸¦ ¶Ç´Ù½Ã ¹ÞÀ¸½Ç¼ö ÀÖ½À´Ï´Ù	
58	Special quests great power.	0	1	11	2	11	171	220	2	2	934	217	-1	20	40	0	0	0	0	0	0	0	0	32	4	0	0	-1	15	0	1	0	0	0	0	0	Description: Kill Cursed Descon Wolf.	Location: Sea Roost	Prizes Quest: Ancient Ring (5% chance to attack back).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
59	Special quests increase electrical resistance.	0	1	12	2	13	171	220	2	2	934	197	-1	35	50	0	0	0	0	0	0	0	0	16	4	0	0	-1	17	0	1	0	0	0	0	0	Description: Kill Cursed Shock Rinch.	Location: Sea Roost	Prizes Quest: Ancient Ring (5% lightning resistance).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
60	Special quests increase the fire resistance.	0	1	13	2	14	171	220	2	2	934	195	-1	25	35	0	0	0	0	0	0	0	0	32	4	0	0	-1	18	0	1	0	0	0	0	0	Description: Kill Cursed Magma Punch.	Location: Sea Roost	Prizes Quest: Ancient Ring (Fire Resistance 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
61	Special quests serious damage.	0	1	14	2	12	171	220	2	2	934	202	-1	15	35	0	0	0	0	0	0	0	0	16	4	0	0	-1	16	0	1	0	0	0	0	0	Description: Kill Cursed Dart Pitcher.	Location: Sea Roost	Prizes Quest: Ancient Ring (Critical Chance increased 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
62	Special quests great power.	0	1	15	2	11	221	300	2	2	935	244	-1	40	60	0	0	0	0	0	0	0	0	64	4	0	0	-1	15	0	1	0	0	0	0	0	Description: Kill Cursed Raven Valkyrie.	Location: Pharos	Prizes Quest: Ancient Ring (5% chance to attack back).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
63	Special quests serious damage.	0	1	16	2	12	221	300	2	2	935	220	-1	40	70	0	0	0	0	0	0	0	0	64	4	0	0	-1	16	0	1	0	0	0	0	0	Description: Kill Cursed Head Dragon.	Location: Pharos	Prizes Quest: Ancient Ring (Critical Chance increased 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
64	Special quests increase the fire resistance.	0	1	17	2	14	221	300	2	2	935	245	-1	25	55	0	0	0	0	0	0	0	0	64	4	0	0	-1	18	0	1	0	0	0	0	0	Description: Kill Cursed Bat Dragon.	Location: Pharos	Prizes Quest: Ancient Ring (Fire Resistance 5%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
65	Special quests increase electrical resistance.	0	1	18	2	13	221	300	2	2	935	219	-1	5	10	0	0	0	0	0	0	0	0	64	4	0	0	-1	17	0	1	0	0	0	0	0	Description: Kill Cursed Raven Mage.	Location: Pharos	Prizes Quest: Ancient Ring (5% lightning resistance).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
66	Quest extra skill.	0	1	19	2	19	221	300	2	2	935	221	-1	45	75	0	0	0	0	0	0	0	0	64	4	0	0	-1	22	0	1	0	0	0	0	0	Description: Kill Cursed Iron Dragon.	Location: Pharos	Prizes Quest: Ancient Ring (speed of the skill increased by 20%).	After The mission can not get it anymore.	The mission to increase options. You must complete the mission Ancient Ring		
67	Special quests center of consideration.	0	1	20	2	23	221	300	2	2	935	243	-1	50	80	0	0	0	0	0	0	0	0	64	4	0	0	-3	0	0	1	0	0	0	0	0	Description: Kill Cursed Ghost Hydra.	Location: Pharos	Quest reward: one free redistribution chance.	After The mission can not get it anymore.	NULL		
68	Special quests center of consideration.	0	1	21	2	24	221	300	2	2	935	245	-1	50	80	0	0	0	0	0	0	0	0	64	4	0	0	-3	0	0	1	0	0	0	0	0	Description: Kill Cursed Bat Dragon.	Location: Pharos	Quest reward: one free redistribution chance.	After The mission can not get it anymore.	NULL		
69	Quest mission to exercise.	0	0	22	0	0	7	11	1	2	0	25	-1	10	15	0	0	0	0	0	0	0	0	16	3	23	556	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Lada	Location: Lagramia	When mission completion will be awarded automatically.	NULL	NULL		
70	Quest's request Bellion.	1	1	23	0	0	40	48	1	1	0	98	-1	37	40	54	0	0	8	15	8	0	0	1	6	6600	1385	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Decardi	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
71	Quest's request Bellion.	1	1	24	0	0	46	59	1	1	0	99	-1	40	89	87	0	0	22	18	10	0	0	4	6	10200	2112	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Deckadun	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
72	Quest's request Bellion.	1	1	25	0	0	55	73	1	1	0	24	-1	104	37	31	48	0	6	10	17	1	0	1	6	5600	1152	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Decardi	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
73	Quest's request Bellion.	1	1	26	0	0	70	78	1	1	0	100	-1	48	41	40	107	0	8	15	20	1	0	1	6	14400	2992	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Decardi	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
74	Quest's request Bellion.	1	1	27	0	0	75	89	1	1	0	26	-1	107	48	41	0	0	5	15	23	0	0	1	6	18200	3763	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Decardi	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
75	Quest's request Bellion.	1	1	28	0	0	86	91	1	1	0	77	-1	58	60	61	0	0	25	9	4	0	0	2	6	24200	5044	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
76	Quest's request Bellion.	1	1	29	0	0	88	95	1	1	0	39	-1	86	78	80	61	0	25	25	7	10	0	4	6	27600	5723	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Deckadun	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
77	Quest's request Bellion.	1	1	30	0	0	92	99	1	1	0	101	-1	60	61	58	0	0	33	3	11	0	0	2	6	40000	8358	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
78	Quest's request Bellion.	1	1	31	0	0	97	110	1	1	0	31	-1	79	81	61	60	0	12	9	8	15	0	4	6	45400	9486	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Deckadun	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
79	Quest's request Bellion.	1	1	32	0	0	103	125	1	1	0	78	-1	60	61	59	0	0	30	20	10	0	0	2	6	35200	7334	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
80	Quest's request Bellion.	1	1	33	0	0	117	131	1	1	0	102	-1	125	122	120	119	0	10	10	8	5	0	2	6	49000	12507	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
81	Quest's request Bellion.	1	1	34	0	0	130	142	1	1	0	89	-1	122	120	121	125	124	12	15	3	9	2	2	6	66400	17351	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
82	Quest's request Bellion.	1	1	35	0	0	140	159	1	1	0	89	-1	120	121	124	128	126	15	5	3	2	1	2	6	51600	14803	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
83	Quest's request Bellion.	1	1	36	0	0	157	173	1	1	0	37	-1	125	150	154	157	156	25	4	3	2	1	8	6	63000	41030	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Shilon	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
84	Quest's request Bellion.	1	1	37	0	0	170	179	1	1	0	54	-1	121	124	128	126	122	5	5	5	5	10	2	6	87400	17168	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
85	Quest's request Bellion.	1	1	38	0	0	177	198	1	1	0	40	-1	121	124	128	126	120	10	7	5	5	15	2	6	107400	25441	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
86	Quest's request Bellion.	1	1	39	0	0	196	220	1	1	0	40	-1	125	150	154	157	156	25	5	5	3	1	8	6	72400	52435	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Shilon	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
87	Quest's request Bellion.	1	1	40	0	0	216	232	1	1	0	104	-1	150	154	157	156	158	8	8	3	3	1	8	6	82400	85066	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Shilon	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
88	Quest's request Bellion.	1	1	41	0	0	231	245	1	1	0	41	-1	124	128	126	130	132	10	5	8	7	2	2	6	172000	25356	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
89	Quest's request Bellion.	1	1	42	0	0	239	251	1	1	0	48	-1	217	197	203	0	0	10	5	2	0	0	32	6	71800	13015	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
90	Quest's request Bellion.	1	1	43	0	0	249	256	1	1	0	86	-1	217	197	202	203	0	15	8	5	3	0	32	6	120200	24432	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
91	Quest's request Bellion.	1	1	44	0	0	255	262	1	1	0	58	-1	203	202	195	206	0	8	10	4	1	0	32	6	52400	20814	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Sea Roost	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
92	Quest's request Bellion.	1	1	45	0	0	260	270	1	1	0	58	-1	244	220	245	0	0	17	5	3	0	0	64	6	78400	19081	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
93	Quest's request Bellion.	1	1	46	0	0	268	280	1	1	0	58	-1	244	220	245	221	0	20	7	5	1	0	64	6	108800	28304	-4	925	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Pharos	You will receive a stipend Once the item is received after the successful mission to send a Npc Arch	NULL	NULL		
94	Quest mission is simple.	0	1	23	0	0	8	12	1	2	0	98	-1	15	20	0	0	0	0	0	0	0	0	16	3	40	1140	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Armored Crab.	Location: Lagramia	When mission completion will be awarded automatically.	NULL	NULL		
95	Quest mission started.	0	1	24	0	0	9	13	1	2	0	99	-1	15	20	0	0	0	0	0	0	0	0	16	3	60	1400	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Poison Crab.	Location: Lagramia	When mission completion will be awarded automatically.	NULL	NULL		
96	Quest Monsters cursed.	0	1	25	0	0	10	14	1	2	0	24	-1	20	25	0	0	0	0	0	0	0	0	16	3	88	2076	0	0	0	1	0	0	0	0	0	Description: Kill Cursed White Tiger.	Location: Lagramia	When mission completion will be awarded automatically.	NULL	NULL		
97	Quest Sea Scorpion cursed.	0	1	26	0	0	13	20	1	2	0	100	-1	20	30	0	0	0	0	0	0	0	0	16	3	165	4230	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Sea Scorpion.	Location: Lagramia	When mission completion will be awarded automatically.	NULL	NULL		
98	Giant Cobra Quest	0	1	27	0	0	19	25	1	2	0	26	-1	25	35	0	0	0	0	0	0	0	0	1	3	98	2394	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Hell Cobra.	Location: Decardi	When mission completion will be awarded automatically.	NULL	NULL		
99	Quest nature of the Giant Spider.	0	1	28	0	0	22	30	1	2	0	77	-1	25	35	0	0	0	0	0	0	0	0	4	3	98	2394	0	0	0	1	0	0	0	0	0	Description: Kill Cursed HeBlossom	Location: Deckadun	When mission completion will be awarded automatically.	NULL	NULL		
100	Quest ridicule	0	1	29	0	0	22	30	1	2	0	39	-1	25	35	0	0	0	0	0	0	0	0	1	3	98	2394	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Moke	Location: Decardi	When mission completion will be awarded automatically.	NULL	NULL		
101	Beware of Poisonous Scorpion Quest	0	1	30	0	0	23	38	1	2	0	101	-1	20	30	0	0	0	0	0	0	0	0	16	3	171	4176	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Poison Scorpion.	Location: Lagramia	When mission completion will be awarded automatically.	NULL	NULL		
102	Quest question of Dino.	0	1	31	0	0	25	38	1	2	0	31	-1	20	30	0	0	0	0	0	0	0	0	1	3	171	4176	0	0	0	1	0	0	0	0	0	Description: Kill Cursed Dino	Location: Decardi	When mission completion will be awarded automatically.	NULL	NULL		
